TCP SRC PORT,TCP DST PORT,HDR_LEN,SEQ,WINDOW_SIZE,LABEL
35388,443,20,1,31088,FTP
443,35388,20,1,65535,FTP
443,35388,20,1,65535,FTP
35388,443,20,47,31088,FTP
36466,80,40,0,29200,FTP
80,36466,24,0,65535,FTP
36466,80,20,1,29200,FTP
36466,80,20,1,29200,FTP
80,36466,20,1,65535,FTP
80,36466,20,1,65535,FTP
443,34384,20,1,65535,HTTP
443,34384,20,194,65535,HTTP
34384,443,20,1,63900,HTTP
443,34384,20,232,65535,HTTP
443,35506,20,1,65535,HTTP
443,35506,20,149,65535,HTTP
443,35506,20,187,65535,HTTP
34384,443,20,1,63900,HTTP
35506,443,20,1,65535,HTTP
443,34384,20,278,65535,HTTP
35506,443,20,1,65535,HTTP
443,35506,20,233,65535,HTTP
34384,443,20,47,63900,HTTP
443,34384,20,278,65535,HTTP
443,34384,20,278,65535,HTTP
443,34384,20,476,65535,HTTP
34384,443,20,204,65320,HTTP
443,34384,20,514,65535,HTTP
34384,443,20,204,65320,HTTP
443,34384,20,560,65535,HTTP
56864,443,20,1,42600,HTTP
443,56864,20,1,65535,HTTP
443,56864,20,1,65535,HTTP
443,56864,20,217,65535,HTTP
56864,443,20,156,45440,HTTP
443,56864,20,255,65535,HTTP
56864,443,20,156,45440,HTTP
443,56864,20,301,65535,HTTP
34384,443,20,250,65320,HTTP
443,34384,20,560,65535,HTTP
443,34384,20,560,65535,HTTP
443,34384,20,777,65535,HTTP
443,34384,20,815,65535,HTTP
34384,443,20,446,65320,HTTP
34384,443,20,446,65320,HTTP
443,34384,20,861,65535,HTTP
34384,443,20,492,65320,HTTP
443,34384,20,861,65535,HTTP
443,34384,20,861,65535,HTTP
443,34384,20,1083,65535,HTTP
443,34384,20,1121,65535,HTTP
34384,443,20,672,65320,HTTP
34384,443,20,672,65320,HTTP
443,34384,20,1167,65535,HTTP
56864,443,20,202,45440,HTTP
443,56864,20,301,65535,HTTP
443,56864,20,301,65535,HTTP
443,56864,20,415,65535,HTTP
56864,443,20,379,45440,HTTP
56864,443,20,379,45440,HTTP
443,56864,20,461,65535,HTTP
35506,443,20,47,65535,HTTP
443,35506,20,233,65535,HTTP
443,35506,20,233,65535,HTTP
443,35506,20,522,65535,HTTP
35506,443,20,137,65535,HTTP
443,35506,20,1952,65535,HTTP
35506,443,20,137,65535,HTTP
443,35506,20,4812,65535,HTTP
35506,443,20,137,65535,HTTP
443,35506,20,12982,65535,HTTP
35506,443,20,137,65535,HTTP
443,35506,20,15538,65535,HTTP
35506,443,20,137,65535,HTTP
443,35506,20,16968,65535,HTTP
35506,443,20,137,65535,HTTP
443,35506,20,19828,65535,HTTP
35506,443,20,137,65535,HTTP
443,35506,20,22688,65535,HTTP
35506,443,20,137,65535,HTTP
443,35506,20,24118,65535,HTTP
35506,443,20,137,65535,HTTP
443,35506,20,26978,65535,HTTP
443,35506,20,29838,65535,HTTP
35506,443,20,137,65535,HTTP
443,35506,20,31268,65535,HTTP
443,35506,20,32279,65535,HTTP
35506,443,20,137,65535,HTTP
443,35506,20,37999,65535,HTTP
443,35506,20,45149,65535,HTTP
443,35506,20,48009,65535,HTTP
35506,443,20,137,65535,HTTP
443,35506,20,49020,65535,HTTP
35506,443,20,137,65535,HTTP
443,35506,20,51880,65535,HTTP
35506,443,20,137,65535,HTTP
443,35506,20,56170,65535,HTTP
443,35506,20,57278,65535,HTTP
35506,443,20,137,65535,HTTP
443,35506,20,57433,65535,HTTP
35506,443,20,137,65535,HTTP
443,35506,20,58863,65535,HTTP
35506,443,20,137,65535,HTTP
443,35506,20,60473,65535,HTTP
35506,443,20,137,65535,HTTP
443,35506,20,60557,65535,HTTP
38124,443,20,1,31088,HTTP
443,38124,20,1,65535,HTTP
37534,443,20,1,31088,HTTP
443,37534,20,1,65535,HTTP
443,38124,20,1,65535,HTTP
38124,443,20,88,31088,HTTP
443,38124,20,94,65535,HTTP
443,37534,20,1,65535,HTTP
37534,443,20,140,31088,HTTP
443,37534,20,94,65535,HTTP
35506,443,20,183,65535,HTTP
35506,443,20,410,65535,HTTP
443,35506,20,60557,65535,HTTP
443,35506,20,60557,65535,HTTP
35506,443,20,448,65535,HTTP
443,35506,20,60557,65535,HTTP
443,35506,20,60557,65535,HTTP
443,35506,20,60705,65535,HTTP
35506,443,20,581,65535,HTTP
35506,443,20,581,65535,HTTP
443,35506,20,60789,65535,HTTP
443,35506,20,60789,65535,HTTP
443,35506,20,60886,65535,HTTP
35506,443,20,627,65535,HTTP
35506,443,20,627,65535,HTTP
443,35506,20,60970,65535,HTTP
35506,443,20,673,65535,HTTP
443,35506,20,60970,65535,HTTP
443,35506,20,60970,65535,HTTP
35506,443,20,997,65535,HTTP
443,35506,20,61063,65535,HTTP
35506,443,20,1043,65535,HTTP
443,35506,20,61063,65535,HTTP
443,35506,20,61063,65535,HTTP
443,35506,20,61137,65535,HTTP
35506,443,20,1150,65535,HTTP
35506,443,20,1150,65535,HTTP
443,35506,20,61221,65535,HTTP
35506,443,20,1196,65535,HTTP
35506,443,20,1360,65535,HTTP
443,35506,20,61221,65535,HTTP
443,35506,20,61221,65535,HTTP
443,35506,20,61221,65535,HTTP
443,35506,20,61369,65535,HTTP
35506,443,20,1398,65535,HTTP
35506,443,20,1398,65535,HTTP
443,35506,20,61453,65535,HTTP
35506,443,20,1444,65535,HTTP
443,35506,20,61453,65535,HTTP
55404,443,20,1,31088,HTTP
443,55404,20,1,65535,HTTP
443,55404,20,1,65535,HTTP
55404,443,20,153,31088,HTTP
443,55404,20,94,65535,HTTP
35506,443,20,1622,65535,HTTP
443,35506,20,61453,65535,HTTP
443,35506,20,61453,65535,HTTP
35506,443,20,2008,65535,HTTP
443,35506,20,61546,65535,HTTP
44170,443,20,1,31088,HTTP
443,44170,20,1,65535,HTTP
443,44170,20,1,65535,HTTP
44170,443,20,277,31088,HTTP
443,44170,20,94,65535,HTTP
443,35506,20,61546,65535,HTTP
443,35506,20,61759,65535,HTTP
35506,443,20,2054,65535,HTTP
443,35506,20,62373,65535,HTTP
443,35506,20,62412,65535,HTTP
35506,443,20,2054,65535,HTTP
35506,443,20,2054,65535,HTTP
443,35506,20,62496,65535,HTTP
35506,443,20,2100,65535,HTTP
35506,443,20,2496,65535,HTTP
443,35506,20,62496,65535,HTTP
443,35506,20,62496,65535,HTTP
34384,443,20,718,65320,HTTP
443,34384,20,1167,65535,HTTP
443,34384,20,1167,65535,HTTP
443,34384,20,1360,65535,HTTP
34384,443,20,902,65320,HTTP
34384,443,20,902,65320,HTTP
443,34384,20,1444,65535,HTTP
443,35506,20,62496,65535,HTTP
443,35506,20,62682,65535,HTTP
35506,443,20,2534,65535,HTTP
35506,443,20,2534,65535,HTTP
443,35506,20,62728,65535,HTTP
34384,443,20,948,65320,HTTP
443,34384,20,1444,65535,HTTP
443,34384,20,1444,65535,HTTP
443,34384,20,1642,65535,HTTP
443,34384,20,1680,65535,HTTP
34384,443,20,1105,65320,HTTP
34384,443,20,1105,65320,HTTP
443,34384,20,1726,65535,HTTP
56864,443,20,425,45440,HTTP
443,56864,20,461,65535,HTTP
443,56864,20,461,65535,HTTP
443,56864,20,678,65535,HTTP
56864,443,20,580,48280,HTTP
443,56864,20,716,65535,HTTP
56864,443,20,580,48280,HTTP
443,56864,20,762,65535,HTTP
34384,443,20,1151,65320,HTTP
443,34384,20,1726,65535,HTTP
443,34384,20,1726,65535,HTTP
34384,443,20,1348,65320,HTTP
443,34384,20,1959,65535,HTTP
34384,443,20,1394,65320,HTTP
443,34384,20,1959,65535,HTTP
443,34384,20,1959,65535,HTTP
443,34384,20,2217,65535,HTTP
34384,443,20,1573,65320,HTTP
34384,443,20,1573,65320,HTTP
443,34384,20,2263,65535,HTTP
56864,443,20,626,48280,HTTP
443,56864,20,762,65535,HTTP
443,56864,20,762,65535,HTTP
443,56864,20,838,65535,HTTP
56864,443,20,802,48280,HTTP
443,56864,20,876,65535,HTTP
56864,443,20,802,48280,HTTP
443,56864,20,922,65535,HTTP
35506,443,20,2580,65535,HTTP
443,35506,20,62728,65535,HTTP
443,35506,20,62728,65535,HTTP
443,35506,20,63019,65535,HTTP
35506,443,20,2670,65535,HTTP
443,35506,20,64449,65535,HTTP
443,35506,20,71190,65535,HTTP
443,35506,20,74050,65535,HTTP
35506,443,20,2670,65535,HTTP
443,35506,20,78037,65535,HTTP
35506,443,20,2670,65535,HTTP
443,35506,20,79467,65535,HTTP
35506,443,20,2670,65535,HTTP
443,35506,20,82327,65535,HTTP
35506,443,20,2670,65535,HTTP
443,35506,20,83757,65535,HTTP
35506,443,20,2670,65535,HTTP
443,35506,20,85187,65535,HTTP
35506,443,20,2670,65535,HTTP
443,35506,20,86617,65535,HTTP
35506,443,20,2670,65535,HTTP
443,35506,20,89477,65535,HTTP
35506,443,20,2670,65535,HTTP
443,35506,20,92337,65535,HTTP
35506,443,20,2670,65535,HTTP
443,35506,20,94778,65535,HTTP
35506,443,20,2670,65535,HTTP
443,35506,20,96208,65535,HTTP
35506,443,20,2670,65535,HTTP
443,35506,20,99068,65535,HTTP
35506,443,20,2670,65535,HTTP
443,35506,20,101928,65535,HTTP
35506,443,20,2670,65535,HTTP
443,35506,20,104788,65535,HTTP
35506,443,20,2670,65535,HTTP
443,35506,20,107648,65535,HTTP
35506,443,20,2670,65535,HTTP
443,35506,20,109078,65535,HTTP
35506,443,20,2670,65535,HTTP
443,35506,20,111519,65535,HTTP
35506,443,20,2670,65535,HTTP
443,35506,20,114379,65535,HTTP
35506,443,20,2670,65535,HTTP
443,35506,20,115809,65535,HTTP
35506,443,20,2670,65535,HTTP
443,35506,20,118669,65535,HTTP
443,35506,20,119776,65535,HTTP
35506,443,20,2670,65535,HTTP
443,35506,20,121206,65535,HTTP
35506,443,20,2670,65535,HTTP
443,35506,20,122636,65535,HTTP
35506,443,20,2670,65535,HTTP
443,35506,20,122979,65535,HTTP
38124,443,20,134,31088,HTTP
443,38124,20,94,65535,HTTP
443,38124,20,94,65535,HTTP
38124,443,20,221,31088,HTTP
443,38124,20,187,65535,HTTP
37534,443,20,186,31088,HTTP
443,37534,20,94,65535,HTTP
443,37534,20,94,65535,HTTP
37534,443,20,325,31088,HTTP
443,37534,20,187,65535,HTTP
35506,443,20,2716,65535,HTTP
443,35506,20,122979,65535,HTTP
35506,443,20,2946,65535,HTTP
35506,443,20,3079,65535,HTTP
443,35506,20,122979,65535,HTTP
443,35506,20,122979,65535,HTTP
35506,443,20,3117,65535,HTTP
443,35506,20,122979,65535,HTTP
443,35506,20,122979,65535,HTTP
35506,443,20,3441,65535,HTTP
443,35506,20,123072,65535,HTTP
443,35506,20,123072,65535,HTTP
443,35506,20,123169,65535,HTTP
35506,443,20,3487,65535,HTTP
35506,443,20,3487,65535,HTTP
443,35506,20,123253,65535,HTTP
443,35506,20,123253,65535,HTTP
35506,443,20,3533,65535,HTTP
443,35506,20,123485,65535,HTTP
35506,443,20,3579,65535,HTTP
443,35506,20,123485,65535,HTTP
443,35506,20,123485,65535,HTTP
443,35506,20,123559,65535,HTTP
35506,443,20,3686,65535,HTTP
35506,443,20,3686,65535,HTTP
443,35506,20,123643,65535,HTTP
35506,443,20,3732,65535,HTTP
35506,443,20,3897,65535,HTTP
443,35506,20,123643,65535,HTTP
443,35506,20,123643,65535,HTTP
443,35506,20,123643,65535,HTTP
443,35506,20,123791,65535,HTTP
35506,443,20,3935,65535,HTTP
35506,443,20,3935,65535,HTTP
443,35506,20,123875,65535,HTTP
35506,443,20,3981,65535,HTTP
443,35506,20,123875,65535,HTTP
55404,443,20,199,31088,HTTP
443,55404,20,94,65535,HTTP
443,55404,20,94,65535,HTTP
55404,443,20,351,31088,HTTP
443,55404,20,187,65535,HTTP
35506,443,20,4160,65535,HTTP
443,35506,20,123875,65535,HTTP
443,35506,20,123875,65535,HTTP
35506,443,20,4546,65535,HTTP
443,35506,20,123968,65535,HTTP
44170,443,20,323,31088,HTTP
443,44170,20,94,65535,HTTP
443,44170,20,94,65535,HTTP
44170,443,20,601,31088,HTTP
443,44170,20,187,65535,HTTP
443,35506,20,123968,65535,HTTP
443,35506,20,124179,65535,HTTP
35506,443,20,4592,65535,HTTP
443,35506,20,124793,65535,HTTP
443,35506,20,124832,65535,HTTP
35506,443,20,4592,65535,HTTP
35506,443,20,4592,65535,HTTP
443,35506,20,124916,65535,HTTP
35506,443,20,4638,65535,HTTP
35506,443,20,5035,65535,HTTP
443,35506,20,124916,65535,HTTP
443,35506,20,124916,65535,HTTP
34384,443,20,1619,65320,HTTP
443,34384,20,2263,65535,HTTP
443,34384,20,2263,65535,HTTP
443,34384,20,2454,65535,HTTP
34384,443,20,1802,65320,HTTP
443,34384,20,2492,65535,HTTP
34384,443,20,1802,65320,HTTP
443,34384,20,2538,65535,HTTP
443,35506,20,124916,65535,HTTP
443,35506,20,125064,65535,HTTP
35506,443,20,5073,65535,HTTP
443,35506,20,125102,65535,HTTP
35506,443,20,5073,65535,HTTP
443,35506,20,125148,65535,HTTP
34384,443,20,1848,65320,HTTP
443,34384,20,2538,65535,HTTP
443,34384,20,2538,65535,HTTP
443,34384,20,2737,65535,HTTP
443,34384,20,2775,65535,HTTP
34384,443,20,2003,65320,HTTP
34384,443,20,2003,65320,HTTP
443,34384,20,2821,65535,HTTP
56864,443,20,848,48280,HTTP
443,56864,20,922,65535,HTTP
45436,443,20,1,38340,HTTP
443,45436,20,1,65535,HTTP
443,56864,20,922,65535,HTTP
56864,443,20,1004,51120,HTTP
443,56864,20,1156,65535,HTTP
34384,443,20,2049,65320,HTTP
443,34384,20,2821,65535,HTTP
443,34384,20,2821,65535,HTTP
443,34384,20,3038,65535,HTTP
34384,443,20,2247,65320,HTTP
443,34384,20,3076,65535,HTTP
34384,443,20,2247,65320,HTTP
443,34384,20,3122,65535,HTTP
34384,443,20,2293,65320,HTTP
443,34384,20,3122,65535,HTTP
443,34384,20,3122,65535,HTTP
443,34384,20,3343,65535,HTTP
34384,443,20,2473,65320,HTTP
443,34384,20,3381,65535,HTTP
34384,443,20,2473,65320,HTTP
443,34384,20,3427,65535,HTTP
56864,443,20,1050,51120,HTTP
443,56864,20,1156,65535,HTTP
443,56864,20,1156,65535,HTTP
443,56864,20,1270,65535,HTTP
56864,443,20,1227,51120,HTTP
56864,443,20,1227,51120,HTTP
443,56864,20,1316,65535,HTTP
35506,443,20,5119,65535,HTTP
443,35506,20,125148,65535,HTTP
443,35506,20,125148,65535,HTTP
443,35506,20,125438,65535,HTTP
35506,443,20,5209,65535,HTTP
443,35506,20,129728,65535,HTTP
35506,443,20,5209,65535,HTTP
443,35506,20,132179,65535,HTTP
443,35506,20,135039,65535,HTTP
443,35506,20,136469,65535,HTTP
35506,443,20,5209,65535,HTTP
443,35506,20,140460,65535,HTTP
35506,443,20,5209,65535,HTTP
443,35506,20,143320,65535,HTTP
35506,443,20,5209,65535,HTTP
443,35506,20,147610,65535,HTTP
35506,443,20,5209,65535,HTTP
443,35506,20,150470,65535,HTTP
35506,443,20,5209,65535,HTTP
443,35506,20,154760,65535,HTTP
35506,443,20,5209,65535,HTTP
443,35506,20,157201,65535,HTTP
35506,443,20,5209,65535,HTTP
443,35506,20,158631,65535,HTTP
443,35506,20,162921,65535,HTTP
35506,443,20,5209,65535,HTTP
443,35506,20,164351,65535,HTTP
35506,443,20,5209,65535,HTTP
443,35506,20,171501,65535,HTTP
35506,443,20,5209,65535,HTTP
443,35506,20,175372,65535,HTTP
35506,443,20,5209,65535,HTTP
443,35506,20,182195,65535,HTTP
443,35506,20,182355,65535,HTTP
35506,443,20,5209,65535,HTTP
443,35506,20,185215,65535,HTTP
443,35506,20,185383,65535,HTTP
35506,443,20,5209,65535,HTTP
35506,443,20,5209,65535,HTTP
443,35506,20,185429,65535,HTTP
38124,443,20,267,31088,HTTP
37534,443,20,371,31088,HTTP
443,38124,20,187,65535,HTTP
443,37534,20,187,65535,HTTP
443,38124,20,187,65535,HTTP
38124,443,20,354,31088,HTTP
443,38124,20,280,65535,HTTP
443,37534,20,187,65535,HTTP
37534,443,20,510,31088,HTTP
443,37534,20,280,65535,HTTP
35506,443,20,5255,65535,HTTP
35506,443,20,5484,65535,HTTP
443,35506,20,185429,65535,HTTP
443,35506,20,185429,65535,HTTP
35506,443,20,5522,65535,HTTP
443,35506,20,185429,65535,HTTP
443,35506,20,185429,65535,HTTP
443,35506,20,185577,65535,HTTP
35506,443,20,5655,65535,HTTP
35506,443,20,5655,65535,HTTP
443,35506,20,185661,65535,HTTP
443,35506,20,185661,65535,HTTP
443,35506,20,185758,65535,HTTP
35506,443,20,5701,65535,HTTP
35506,443,20,5701,65535,HTTP
443,35506,20,185842,65535,HTTP
35506,443,20,5747,65535,HTTP
443,35506,20,185842,65535,HTTP
443,35506,20,185842,65535,HTTP
35506,443,20,6071,65535,HTTP
443,35506,20,185935,65535,HTTP
35506,443,20,6117,65535,HTTP
443,35506,20,185935,65535,HTTP
443,35506,20,185935,65535,HTTP
443,35506,20,186009,65535,HTTP
35506,443,20,6224,65535,HTTP
35506,443,20,6224,65535,HTTP
443,35506,20,186093,65535,HTTP
35506,443,20,6270,65535,HTTP
35506,443,20,6435,65535,HTTP
443,35506,20,186093,65535,HTTP
443,35506,20,186093,65535,HTTP
443,35506,20,186093,65535,HTTP
443,35506,20,186241,65535,HTTP
35506,443,20,6473,65535,HTTP
35506,443,20,6473,65535,HTTP
443,35506,20,186325,65535,HTTP
35506,443,20,6519,65535,HTTP
443,35506,20,186325,65535,HTTP
55404,443,20,397,31088,HTTP
443,55404,20,187,65535,HTTP
443,55404,20,187,65535,HTTP
55404,443,20,549,31088,HTTP
443,55404,20,280,65535,HTTP
35506,443,20,6698,65535,HTTP
443,35506,20,186325,65535,HTTP
443,35506,20,186325,65535,HTTP
35506,443,20,7084,65535,HTTP
443,35506,20,186418,65535,HTTP
44170,443,20,647,31088,HTTP
443,44170,20,187,65535,HTTP
443,44170,20,187,65535,HTTP
44170,443,20,924,31088,HTTP
443,44170,20,280,65535,HTTP
443,35506,20,186418,65535,HTTP
443,35506,20,186630,65535,HTTP
35506,443,20,7130,65535,HTTP
443,35506,20,187244,65535,HTTP
443,35506,20,187283,65535,HTTP
35506,443,20,7130,65535,HTTP
35506,443,20,7130,65535,HTTP
443,35506,20,187367,65535,HTTP
35506,443,20,7176,65535,HTTP
35506,443,20,7573,65535,HTTP
443,35506,20,187367,65535,HTTP
443,35506,20,187367,65535,HTTP
34384,443,20,2519,65320,HTTP
443,34384,20,3427,65535,HTTP
443,34384,20,3427,65535,HTTP
443,34384,20,3659,65535,HTTP
34384,443,20,2703,65320,HTTP
34384,443,20,2703,65320,HTTP
443,34384,20,3705,65535,HTTP
443,35506,20,187367,65535,HTTP
443,35506,20,187515,65535,HTTP
35506,443,20,7611,65535,HTTP
443,35506,20,187553,65535,HTTP
35506,443,20,7611,65535,HTTP
443,35506,20,187599,65535,HTTP
34384,443,20,2749,65320,HTTP
443,34384,20,3705,65535,HTTP
443,34384,20,3705,65535,HTTP
443,34384,20,3904,65535,HTTP
34384,443,20,2907,65320,HTTP
34384,443,20,2907,65320,HTTP
443,34384,20,3988,65535,HTTP
56864,443,20,1273,51120,HTTP
443,56864,20,1316,65535,HTTP
443,56864,20,1316,65535,HTTP
443,56864,20,1532,65535,HTTP
56864,443,20,1428,53960,HTTP
56864,443,20,1428,53960,HTTP
443,56864,20,1616,65535,HTTP
34384,443,20,2953,65320,HTTP
443,34384,20,3988,65535,HTTP
443,34384,20,3988,65535,HTTP
443,34384,20,4207,65535,HTTP
34384,443,20,3150,65320,HTTP
34384,443,20,3150,65320,HTTP
443,34384,20,4291,65535,HTTP
34384,443,20,3196,65320,HTTP
443,34384,20,4291,65535,HTTP
443,34384,20,4291,65535,HTTP
443,34384,20,4512,65535,HTTP
34384,443,20,3379,65320,HTTP
443,34384,20,4550,65535,HTTP
34384,443,20,3379,65320,HTTP
443,34384,20,4596,65535,HTTP
56864,443,20,1474,53960,HTTP
443,56864,20,1616,65535,HTTP
443,56864,20,1616,65535,HTTP
443,56864,20,1692,65535,HTTP
443,56864,20,1730,65535,HTTP
56864,443,20,1650,53960,HTTP
56864,443,20,1650,53960,HTTP
443,56864,20,1776,65535,HTTP
35506,443,20,7657,65535,HTTP
443,35506,20,187599,65535,HTTP
443,35506,20,187599,65535,HTTP
35506,443,20,7747,65535,HTTP
443,35506,20,194625,65535,HTTP
35506,443,20,7747,65535,HTTP
443,35506,20,196055,65535,HTTP
35506,443,20,7747,65535,HTTP
443,35506,20,198915,65535,HTTP
35506,443,20,7747,65535,HTTP
443,35506,20,201775,65535,HTTP
443,35506,20,202905,65535,HTTP
35506,443,20,7747,65535,HTTP
443,35506,20,244641,65535,HTTP
35506,443,20,7747,65535,HTTP
443,35506,20,246303,65535,HTTP
35506,443,20,7747,65535,HTTP
35506,443,20,7747,65535,HTTP
443,35506,20,247877,65535,HTTP
38124,443,20,400,31088,HTTP
443,38124,20,280,65535,HTTP
443,38124,20,280,65535,HTTP
38124,443,20,487,31088,HTTP
443,38124,20,373,65535,HTTP
37534,443,20,556,31088,HTTP
443,37534,20,280,65535,HTTP
443,37534,20,280,65535,HTTP
37534,443,20,695,31088,HTTP
443,37534,20,373,65535,HTTP
35506,443,20,7793,65535,HTTP
35506,443,20,8023,65535,HTTP
443,35506,20,247877,65535,HTTP
443,35506,20,247877,65535,HTTP
35506,443,20,8061,65535,HTTP
443,35506,20,247877,65535,HTTP
443,35506,20,247877,65535,HTTP
443,35506,20,248025,65535,HTTP
35506,443,20,8194,65535,HTTP
35506,443,20,8194,65535,HTTP
35506,443,20,8518,65535,HTTP
443,35506,20,248109,65535,HTTP
443,35506,20,248109,65535,HTTP
443,35506,20,248109,65535,HTTP
35506,443,20,8564,65535,HTTP
443,35506,20,248202,65535,HTTP
443,35506,20,248202,65535,HTTP
443,35506,20,248299,65535,HTTP
35506,443,20,8610,65535,HTTP
35506,443,20,8610,65535,HTTP
443,35506,20,248383,65535,HTTP
35506,443,20,8656,65535,HTTP
443,35506,20,248383,65535,HTTP
443,35506,20,248383,65535,HTTP
443,35506,20,248495,65535,HTTP
35506,443,20,8763,65535,HTTP
35506,443,20,8763,65535,HTTP
443,35506,20,248541,65535,HTTP
35506,443,20,8809,65535,HTTP
443,35506,20,248541,65535,HTTP
35506,443,20,8973,65535,HTTP
